x,y,z,Bx,By,Bz
-1.5,-0.2,-0.8,-10.094,0.8170000000000001,-24.031999999999996
-1.5,-0.2,-0.7,-8.524,0.81,-24.057
-1.5,-0.2,-0.6,-6.919,0.8240000000000001,-24.061
-1.5,-0.2,-0.5,-5.372999999999999,0.754,-24.069000000000003
-1.5,-0.2,-0.4,-3.77,0.7659999999999999,-24.093000000000004
-1.5,-0.2,-0.3,-2.1590000000000003,0.784,-24.07
-1.5,-0.2,-0.2,-0.589,0.725,-24.163
-1.5,-0.2,-0.1,0.9690000000000001,0.784,-24.079
-1.5,-0.2,0.0,2.595,0.7829999999999999,-24.083000000000002
-1.5,-0.2,0.1,4.194,0.7,-24.156
-1.5,-0.2,0.2,5.749,0.752,-24.144000000000002
-1.5,-0.2,0.3,7.402,0.76,-24.160999999999998
-1.5,-0.2,0.4,8.916,0.757,-24.209
-1.5,-0.2,0.5,10.489,0.674,-24.160999999999998
-1.5,-0.2,0.6,12.1,0.703,-24.12
-1.5,-0.2,0.7,13.687999999999999,0.6829999999999999,-24.174
-1.5,-0.2,0.8,15.244000000000002,0.657,-24.125
-1.5,-0.2,0.9,16.852,0.6509999999999999,-24.135
-1.5,-0.2,1.0,18.38,0.738,-24.101999999999997
-1.5,-0.2,1.1,19.942,0.654,-24.016
-1.5,-0.2,1.2,21.555999999999997,0.632,-24.021
-1.5,-0.2,1.3,23.094,0.66,-23.97
-1.5,-0.2,1.4,24.576,0.637,-23.999000000000002
-1.5,-0.2,1.5,26.147,0.64,-23.954
-1.5,-0.1,-1.5,-20.978,0.8170000000000001,-23.533
-1.5,-0.1,-1.4,-19.483,0.826,-23.699
-1.5,-0.1,-1.3,-17.935,0.877,-23.746
-1.5,-0.1,-1.2,-16.381,0.8109999999999999,-23.809
-1.5,-0.1,-1.1,-14.774000000000001,0.828,-23.82
-1.5,-0.1,-1.0,-13.217,0.831,-23.905
-1.5,-0.1,-0.9,-11.658,0.865,-23.881999999999998
-1.5,-0.1,-0.8,-10.052,0.8009999999999999,-24.000999999999998
